Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
22:52:52 Feb 27 2024,95,81,0,0,0
22:52:56 Feb 27 2024,94,81,0,0,0
22:53:00 Feb 27 2024,93,75,0,0,0
22:53:04 Feb 27 2024,94,75,0,0,0
22:53:08 Feb 27 2024,94,76,0,0,0
22:53:12 Feb 27 2024,93,75,0,0,0
22:53:16 Feb 27 2024,92,73,0,0,0
22:53:20 Feb 27 2024,92,73,14,0,0
22:53:24 Feb 27 2024,92,73,5,0,0
22:53:28 Feb 27 2024,92,73,0,0,0
22:53:32 Feb 27 2024,93,72,0,0,0
22:53:36 Feb 27 2024,93,71,0,0,0
22:53:40 Feb 27 2024,93,70,0,0,0
22:53:44 Feb 27 2024,92,70,0,0,0
22:53:48 Feb 27 2024,91,70,0,0,0
22:53:52 Feb 27 2024,90,70,0,0,0
22:53:56 Feb 27 2024,90,72,0,0,0
22:54:00 Feb 27 2024,90,75,0,0,0
22:54:04 Feb 27 2024,91,73,0,0,0
22:54:08 Feb 27 2024,93,71,0,0,0
22:54:12 Feb 27 2024,93,71,17,0,0
22:54:16 Feb 27 2024,93,75,0,0,0
22:54:20 Feb 27 2024,92,77,0,0,0
22:54:24 Feb 27 2024,93,74,0,0,0
22:54:28 Feb 27 2024,93,72,0,0,0
22:54:32 Feb 27 2024,94,70,0,0,0
22:54:36 Feb 27 2024,94,70,0,0,0
22:54:40 Feb 27 2024,93,71,0,0,0
22:54:44 Feb 27 2024,92,71,0,0,0
22:54:48 Feb 27 2024,92,73,0,0,0
22:54:52 Feb 27 2024,91,74,0,0,0
22:54:56 Feb 27 2024,89,73,0,0,0
22:55:00 Feb 27 2024,89,71,0,0,0
22:55:04 Feb 27 2024,90,71,0,0,0
22:55:08 Feb 27 2024,90,71,0,0,0
22:55:12 Feb 27 2024,91,72,31,0,0
22:55:16 Feb 27 2024,91,72,9,0,0
22:55:20 Feb 27 2024,91,72,4,0,0
22:55:24 Feb 27 2024,91,72,11,0,0
22:55:28 Feb 27 2024,91,72,20,0,0
22:55:32 Feb 27 2024,91,72,5,0,0
22:55:36 Feb 27 2024,91,73,14,0,0
22:55:40 Feb 27 2024,95,76,0,0,0
22:55:44 Feb 27 2024,96,78,0,0,0
22:55:48 Feb 27 2024,96,77,42,0,0
22:55:52 Feb 27 2024,96,77,18,0,0
22:55:56 Feb 27 2024,96,78,0,0,0
22:56:00 Feb 27 2024,95,81,0,0,0
22:56:04 Feb 27 2024,96,79,0,0,0
22:56:08 Feb 27 2024,97,72,0,0,0
22:56:12 Feb 27 2024,97,70,0,0,0
22:56:16 Feb 27 2024,97,68,0,0,0
22:56:20 Feb 27 2024,96,66,0,0,0
